# Word-specific describer hints: english|hint_en|hint_ar
# Words not listed here fall back to their category hint.
Cartoon|Animated drawings children watch on TV.|رسوم متحركة يشاهدها الأطفال في التلفاز.
Chapter|One part of a book.|جزء واحد من كتاب.
Author|The person who wrote the book.|الشخص الذي كتب الكتاب.
Diary|Secret notebook where you write your day.|دفتر سري نكتب فيه يومياتنا.
Fable|Short story with animals teaching a lesson.|قصة قصيرة بحيوانات تعلم عبرة.
Running|Moving fast on your feet.|التحرك السريع على القدمين.
Jumping|Pushing your body up off the ground.|دفع الجسم للأعلى عن الأرض.
Exercise|Body movements keeping you healthy.|حركات الجسم التي تحفظ الصحة.
Training|Practicing to become better.|التمرن لتصبح أفضل.
Warm-up|Light movements before real sport.|حركات خفيفة قبل الرياضة الحقيقية.
Stretching|Extending your muscles slowly.|مد العضلات ببطء.
Push-up|Raising your body from the floor with your arms.|رفع الجسم عن الأرض بالذراعين.
Fitness|Being strong and healthy in body.|أن تكون قويا وصحيحا بدنيا.
Winner|The one who takes first place.|من يحتل المركز الأول.
Champion|The best of all who competed.|الأفضل بين كل المتنافسين.
Record|The best result ever achieved.|أفضل نتيجة تحققت في التاريخ.
Score|The numbers showing who is winning.|الأرقام التي تبين من يفوز.
Round|One part of a match or game.|جزء واحد من المباراة أو اللعبة.
Match|Two teams playing against each other.|فريقان يلعبان ضد بعضهما.
Final|The last game deciding the champion.|المباراة الأخيرة التي تحدد البطل.
Opponent|The player facing you.|اللاعب الذي يواجهك.
Supporter|Fan cheering for his team.|مشجع يهتف لفريقه.
Applause|Clapping hands to show approval.|التصفيق باليدين إعجابا.
Victory|Winning the game.|الفوز بالمباراة.
Defeat|Losing the game.|الخسارة في المباراة.
Draw|When both teams finish equal.|عندما ينتهي الفريقان متعادلين.
Foul|Breaking the rules in a game.|مخالفة قواعد اللعبة.
Offside|Football rule about standing too far ahead.|قاعدة كرة القدم عن التقدم الزائد.
Halftime|The rest between the two halves.|الراحة بين شوطي المباراة.
Puck|The flat black disc of ice hockey.|القرص الأسود المسطح في هوكي الجليد.
Frisbee|Flying disc thrown between friends.|قرص طائر يرمى بين الأصدقاء.
Skates|Shoes with blades or wheels for gliding.|أحذية بشفرات أو عجلات للانزلاق.
Surfboard|Long board for riding ocean waves.|لوح طويل لركوب أمواج المحيط.
Snowboard|One wide board for sliding down snowy mountains.|لوح عريض واحد للانزلاق على الجبال الثلجية.
Goalpost|The frame the ball must enter.|الإطار الذي يجب أن تدخله الكرة.
Hoop|The ring the basketball goes through.|الحلقة التي تمر منها كرة السلة.
Trampoline|Elastic surface you bounce high on.|سطح مرن نقفز عليه عاليا.
Runner|Person who races on foot.|شخص يتسابق على قدميه.
Boxer|Fighter using only his fists with gloves.|مقاتل بقبضتيه فقط مع قفازات.
Wrestler|Fighter who grabs and throws his opponent.|مصارع يمسك خصمه ويطرحه.
Cyclist|Person riding a bicycle in races.|شخص يركب الدراجة في السباقات.
Diver|Person who goes deep under water.|شخص يغوص عميقا تحت الماء.
Skier|Person sliding down snow on two boards.|شخص ينزلق على الثلج بلوحين.
Track|The oval path runners race on.|المسار البيضاوي الذي يتسابق عليه العداؤون.
Lap|One full turn around the track.|دورة كاملة واحدة حول المضمار.
Dish|Deep plate for serving food.|صحن عميق لتقديم الطعام.
Teaspoon|The small one for stirring tea.|الصغيرة لتحريك الشاي.
Tablespoon|The big one for serving food.|الكبيرة لغرف الطعام.
Mixer|Electric machine kneading dough.|آلة كهربائية تعجن العجين.
Masher|Crushes potatoes into puree.|تهرس البطاطا حتى تصبح ناعمة.
Cutlery|Spoons, forks and knives together.|الملاعق والشوك والسكاكين معا.
Crockery|All the plates and bowls of the house.|كل صحون البيت وأوعيته.
Dishcloth|Cloth for wiping dishes and counters.|قماشة لمسح الصحون والطاولات.
Dish rack|Where washed dishes dry.|حيث تجف الصحون المغسولة.
Tap|You turn it and water comes out.|نديرها فيخرج الماء.
Counter|The working surface of the kitchen.|سطح العمل في المطبخ.
Container|Closed box keeping leftover food.|علبة مغلقة تحفظ بقايا الطعام.
Lunch box|Box carrying your meal to school.|علبة تحمل وجبتك إلى المدرسة.
Cork|Soft plug closing a bottle.|سدادة طرية تغلق القارورة.
Toothpick|Thin stick cleaning between teeth.|عود رفيع ينظف بين الأسنان.
Coaster|Small piece placed under the glass.|قطعة صغيرة توضع تحت الكوب.
Music|Sounds arranged beautifully to enjoy.|أصوات مرتبة بجمال للاستمتاع.
Dance|Moving your body with the music.|تحريك الجسم مع الموسيقى.
Hum|Singing with your mouth closed.|الغناء والفم مغلق.
Echo|Your voice coming back from the mountains.|صوتك يرتد من الجبال.
Silence|When there is no sound at all.|عندما لا يوجد صوت إطلاقا.
Volume|How loud the sound is.|مدى ارتفاع الصوت.
Cassette|Old plastic tape playing music.|شريط بلاستيكي قديم يشغل الموسيقى.
CD|Round shiny disc storing music.|قرص لامع مستدير يخزن الموسيقى.
Karaoke|Singing along with words on a screen.|الغناء مع كلمات تظهر على الشاشة.
Rehearsal|Practicing the show before the real one.|التمرن على العرض قبل الحقيقي.
Performance|The show presented to the audience.|العرض المقدم أمام الجمهور.
Instrument|Anything you play music with.|أي شيء نعزف به الموسيقى.
Strings|The thin cords of a guitar or violin.|الخيوط الرفيعة للغيتار أو الكمان.
Mandolin|Small round instrument with paired strings.|آلة صغيرة مستديرة بأوتار مزدوجة.
Qanun|Flat Arabic instrument with many strings on the lap.|آلة عربية مسطحة بأوتار كثيرة توضع على الحجر.
Rebab|Old Arabic one-string instrument of poets.|آلة عربية قديمة بوتر واحد للشعراء.
Darbuka|Arabic drum held under the arm.|طبلة عربية تمسك تحت الذراع.
Tuba|The biggest and deepest brass instrument.|أضخم آلات النفخ وأعمقها صوتا.
Trombone|Brass instrument with a sliding arm.|آلة نفخ نحاسية بذراع منزلقة.
Festival|Big celebration of music and art for days.|احتفال كبير بالموسيقى والفن لأيام.
Parade|People marching in the street with music.|ناس يسيرون في الشارع مع الموسيقى.
Whistling|Making music with your lips.|إصدار الموسيقى بالشفتين.
Chime|Soft ringing of small bells.|رنين ناعم لأجراس صغيرة.
Duet|Two people singing together.|شخصان يغنيان معا.
Solo|One person performing alone.|شخص واحد يؤدي وحده.
Tempo|How fast or slow the music goes.|مدى سرعة الموسيقى أو بطئها.
Worker|Person doing a job for money.|شخص يقوم بعمل مقابل المال.
Boss|The person giving orders at work.|الشخص الذي يعطي الأوامر في العمل.
Employee|Person working for a company.|شخص يعمل لدى شركة.
Colleague|Person working with you.|شخص يعمل معك.
Apprentice|Young person learning a craft from a master.|شاب يتعلم حرفة من معلم.
Volunteer|Works for free to help others.|يعمل مجانا لمساعدة الآخرين.
Officer|Person with rank in police or army.|شخص برتبة في الشرطة أو الجيش.
General|The highest army leader.|أعلى قائد في الجيش.
Detective|Solves crimes by following clues.|يحل الجرائم بتتبع الأدلة.
Spy|Works secretly to steal information.|يعمل سرا لسرقة المعلومات.
Bodyguard|Protects an important person.|يحمي شخصية مهمة.
Lifeguard|Watches swimmers and saves them.|يراقب السباحين وينقذهم.
Paramedic|Gives first aid in the ambulance.|يقدم الإسعافات في سيارة الإسعاف.
Midwife|Helps mothers deliver babies.|تساعد الأمهات على الولادة.
Zookeeper|Feeds and cares for zoo animals.|يطعم حيوانات الحديقة ويرعاها.
Cook|Prepares food in the kitchen.|يحضر الطعام في المطبخ.
Barista|Makes coffee in cafes.|يحضر القهوة في المقاهي.
Butler|Chief servant of a rich house.|كبير خدم البيت الغني.
Builder|Constructs houses with his hands.|يبني البيوت بيديه.
Locksmith|Opens locks when keys are lost.|يفتح الأقفال عند ضياع المفاتيح.
Watchmaker|Repairs clocks and watches.|يصلح الساعات.
Florist|Sells and arranges flowers.|يبيع الزهور وينسقها.
Greengrocer|Sells fruits and vegetables.|يبيع الفواكه والخضروات.
Milkman|Delivers milk to houses every morning.|يوصل الحليب للبيوت كل صباح.
Shopkeeper|Owns and runs a small shop.|يملك محلا صغيرا ويديره.
Porter|Carries bags at hotels and stations.|يحمل الحقائب في الفنادق والمحطات.
Lumberjack|Cuts down trees in the forest.|يقطع الأشجار في الغابة.
Weaver|Makes cloth by crossing threads.|يصنع القماش بتشبيك الخيوط.
Calligrapher|Writes Arabic letters as art.|يكتب الحروف العربية فنا.
Designer|Creates the look of clothes or products.|يبتكر شكل الملابس أو المنتجات.
Model|Wears clothes to show them in shows.|يلبس الثياب لعرضها في العروض.
Hairdresser|Cuts and styles hair.|يقص الشعر ويصففه.
Announcer|Reads the news on TV or radio.|يقرأ الأخبار في التلفاز أو المذياع.
Reporter|Goes to events and tells the news.|يذهب إلى الأحداث وينقل الأخبار.
Director|Tells actors what to do in a film.|يوجه الممثلين في الفيلم.
Producer|Pays for and organizes making a film.|يمول صناعة الفيلم وينظمها.
Comedian|Makes people laugh on stage.|يضحك الناس على المسرح.
Acrobat|Does amazing flips in the circus.|يؤدي حركات مذهلة في السيرك.
Pianist|Plays the piano.|يعزف على البيانو.
Drummer|Beats the drums in the band.|يقرع الطبول في الفرقة.
Internet|The invisible net connecting all computers.|الشبكة الخفية التي تصل كل الحواسيب.
Website|Pages you visit online, like Google.|صفحات نزورها على الشبكة مثل غوغل.
Email|Letter sent instantly through the internet.|رسالة ترسل فورا عبر الإنترنت.
App|Small program on your phone.|برنامج صغير على الهاتف.
Wifi|Internet without wires at home.|إنترنت بلا أسلاك في البيت.
Bluetooth|Connects devices closely without wires.|يصل الأجهزة القريبة بلا أسلاك.
Video|Moving pictures with sound you watch.|صور متحركة بصوت نشاهدها.
Photo|Still picture taken by a camera.|صورة ثابتة تلتقطها الكاميرا.
Selfie|Photo you take of yourself.|صورة تلتقطها لنفسك بنفسك.
Screenshot|Picture of what's on your screen.|صورة لما يظهر على شاشتك.
Icon|Small picture you tap to open an app.|صورة صغيرة تضغطها لفتح تطبيق.
Cursor|The arrow moving on the computer screen.|السهم المتحرك على شاشة الحاسوب.
Download|Bringing a file from the internet to your device.|جلب ملف من الإنترنت إلى جهازك.
Click|One press on the mouse button.|ضغطة واحدة على زر الفأرة.
Emoji|Small faces expressing feelings in messages.|وجوه صغيرة تعبر عن المشاعر في الرسائل.
Username|Your name in apps and games.|اسمك في التطبيقات والألعاب.
Account|Your personal space in an app.|مساحتك الشخصية في تطبيق.
Profile|Your page with your photo and info.|صفحتك بصورتك ومعلوماتك.
Chat|Written conversation in an app.|محادثة مكتوبة في تطبيق.
Video call|Talking while seeing each other on screens.|التحدث مع رؤية بعضنا على الشاشات.
Ringtone|The music playing when someone calls.|الموسيقى التي تصدح عند الاتصال.
Notification|Small message popping up on your phone.|رسالة صغيرة تظهر فجأة على الهاتف.
Joystick|Stick controlling games.|عصا للتحكم في الألعاب.
Data|Information stored in computers.|المعلومات المخزنة في الحواسيب.
Code|Secret-looking text programmers write.|نص يشبه الطلاسم يكتبه المبرمجون.
Touchpad|You slide your finger on it instead of a mouse.|نمرر عليها الإصبع بدل الفأرة.
Antivirus|Program protecting your computer from harm.|برنامج يحمي الحاسوب من الأذى.
Screensaver|Moving picture when the computer rests.|صورة متحركة عندما يرتاح الحاسوب.
Eid|The happy feast after Ramadan or pilgrimage.|العيد السعيد بعد رمضان أو الحج.
Ramadan|The month of fasting.|شهر الصيام.
Prayer mat|Small carpet spread for praying.|سجادة صغيرة تفرش للصلاة.
Qibla|The direction Muslims face to pray.|الاتجاه الذي يستقبله المصلون.
Ablution|Washing before prayer.|الاغتسال قبل الصلاة.
Kaaba|The black cube Muslims circle in Mecca.|المكعب الأسود الذي يطوف حوله الحجاج في مكة.
Iftar|The meal breaking the fast at sunset.|وجبة كسر الصيام عند المغرب.
Suhoor|The meal before dawn in Ramadan.|الوجبة قبل الفجر في رمضان.
Dua|Asking God quietly with raised hands.|سؤال الله بخشوع ورفع اليدين.
Angel|Heavenly being created from light.|مخلوق سماوي من نور.
Job|The work you do for a living.|العمل الذي نكسب منه رزقنا.
Work|What adults do every day to earn money.|ما يفعله الكبار يوميا لكسب المال.
Career|Your work path over your whole life.|مسار عملك طوال حياتك.
Interview|Meeting where they ask questions before hiring you.|لقاء يسألونك فيه قبل توظيفك.
Task|One piece of work to be done.|عمل واحد يجب إنجازه.
Project|Big planned work with a goal.|عمل كبير مخطط له هدف.
Report|Written document about what happened.|وثيقة مكتوبة عما حدث.
Notepad|Small paper block for quick notes.|رزمة أوراق صغيرة للملاحظات السريعة.
ID card|Card proving who you are.|بطاقة تثبت هويتك.
Business card|Small card with your name and work.|بطاقة صغيرة باسمك وعملك.
Appointment|Fixed time to meet someone.|وقت محدد لمقابلة شخص.
Schedule|Plan of your times and tasks.|خطة أوقاتك ومهامك.
Deadline|The last moment to finish work.|آخر لحظة لإنهاء العمل.
Conference|Big meeting of many professionals.|اجتماع كبير لمهنيين كثيرين.
Presentation|Standing and explaining with slides.|الوقوف والشرح بشرائح معروضة.
Graph|Line drawing showing how numbers change.|رسم خطي يبين تغير الأرقام.
Budget|The money planned for spending.|المال المخطط لإنفاقه.
Profit|The money gained above what you spent.|المال المكسوب فوق ما أنفقت.
Tax|Money everyone pays to the government.|مال يدفعه الجميع للحكومة.
Money|What you buy everything with.|ما نشتري به كل شيء.
Bicycle|Two wheels you pedal with your feet.|عجلتان تدفعهما بقدميك.
Motorcycle|Two wheels with an engine, very fast.|عجلتان بمحرك، سريعة جدا.
Helicopter|Flies straight up with spinning blades on top.|تطير عموديا بمراوح دوارة فوقها.
Submarine|Ship that travels under the sea.|سفينة تسير تحت سطح البحر.
Anchor|Heavy metal dropped to stop the ship.|حديدة ثقيلة ترمى لتثبيت السفينة.
Harbor|Where ships park by the city.|حيث ترسو السفن عند المدينة.
Wheel|The round thing cars roll on.|الشيء المستدير الذي تسير عليه السيارات.
Tunnel|Road passing through a mountain or underground.|طريق يخترق الجبل أو يمر تحت الأرض.
Ambulance|Fast white car carrying the sick to hospital.|سيارة بيضاء سريعة تنقل المرضى للمستشفى.
Ferry|Boat carrying people and cars across water.|مركب ينقل الناس والسيارات عبر الماء.
Jacket|Short coat for cool weather.|معطف قصير للطقس البارد.
Glove|You wear it on your hand in winter.|نلبسه في اليد شتاء.
Scarf|Wrapped around the neck for warmth.|يلف حول العنق للدفء.
Belt|Holds your pants around your waist.|يشد البنطال حول الخصر.
Button|Small circles closing your shirt.|دوائر صغيرة تغلق القميص.
Zipper|You pull it up and down to close clothes.|نسحبه صعودا ونزولا لإغلاق الثياب.
Uniform|Same clothes worn by students or police.|لباس موحد للتلاميذ أو الشرطة.
Pocket|Small bag sewn in your clothes for small things.|جيب مخيط في الثياب للأشياء الصغيرة.
Carpenter|Makes doors and furniture from wood.|يصنع الأبواب والأثاث من الخشب.
Plumber|Fixes water pipes and taps.|يصلح أنابيب الماء والحنفيات.
Tailor|Sews and fixes clothes.|يخيط الثياب ويصلحها.
Butcher|Sells and cuts meat.|يبيع اللحم ويقطعه.
Pilot|Flies the airplane.|يقود الطائرة.
Lawyer|Defends people in court.|يدافع عن الناس في المحكمة.
Journalist|Writes the news for papers and TV.|يكتب الأخبار للصحف والتلفاز.
Firefighter|Puts out fires and saves people.|يطفئ الحرائق وينقذ الناس.
Whistle|The referee blows it to stop play.|ينفخ فيها الحكم لإيقاف اللعب.
Medal|Gold, silver or bronze hung on winners' necks.|ذهبية أو فضية أو برونزية تعلق على صدور الفائزين.
Trophy|The golden cup the champion lifts.|الكأس الذهبية التي يرفعها البطل.
Stadium|Huge place where thousands watch matches.|مكان ضخم يشاهد فيه الآلاف المباريات.
Racket|You hit the tennis ball with it.|نضرب بها كرة التنس.
Helmet|Hard hat protecting your head.|قبعة صلبة تحمي الرأس.
Referee|Controls the match and shows cards.|يدير المباراة ويشهر البطاقات.
Scoreboard|Big screen showing the score.|شاشة كبيرة تعرض النتيجة.
Magnet|Attracts iron and sticks to the fridge.|يجذب الحديد ويلتصق بالثلاجة.
Thermometer|Measures how hot your body or the air is.|يقيس حرارة الجسم أو الجو.
Compass|Its needle always points north.|إبرتها تشير دائما إلى الشمال.
Telescope|You watch stars and planets through it.|نرصد به النجوم والكواكب.
Laboratory|Room where scientists do experiments.|غرفة يجري فيها العلماء التجارب.
Skeleton|All the bones of the body together.|كل عظام الجسم مجتمعة.
Electricity|Invisible power lighting our homes.|الطاقة الخفية التي تضيء بيوتنا.
Shadow|The dark shape following you in the sun.|الشكل المظلم الذي يتبعك في الشمس.
Camera|Takes photos and videos.|تلتقط الصور والفيديو.
Robot|Machine that moves and works by itself.|آلة تتحرك وتعمل بنفسها.
Headphones|You wear them on your ears for music.|نلبسها على الأذنين للموسيقى.
Antenna|Metal rod catching TV and radio signals.|قضيب معدني يلتقط إشارات التلفاز والمذياع.
Microphone|You speak into it to be louder.|نتكلم فيه ليعلو صوتنا.
Loudspeaker|Makes sound loud enough for everyone.|يجعل الصوت مسموعا للجميع.
Drone|Small flying machine without a pilot.|طائرة صغيرة بلا طيار.
Calculator|Small machine doing math for you.|آلة صغيرة تحسب عنك.
Island|Land surrounded by water from all sides.|أرض يحيط بها الماء من كل الجهات.
Volcano|Mountain that erupts fire and lava.|جبل يقذف النار والحمم.
Valley|Low land between two mountains.|أرض منخفضة بين جبلين.
Waterfall|River water falling from a high cliff.|ماء النهر يسقط من علو شاهق.
Cave|Dark natural hole in the mountain.|فجوة طبيعية مظلمة في الجبل.
Coast|Where the land meets the sea.|حيث تلتقي اليابسة بالبحر.
Map|Drawing showing countries and roads.|رسم يبين البلدان والطرق.
Bay|Sea curving into the land.|بحر يتقوس داخل اليابسة.
Planet|Huge ball circling the sun, ours is Earth.|كرة ضخمة تدور حول الشمس، كوكبنا الأرض.
Rocket|Launches with fire up into space.|ينطلق بالنار صعودا إلى الفضاء.
Astronaut|Person traveling to space in a suit.|شخص يسافر إلى الفضاء ببدلة خاصة.
Comet|Ice star with a long glowing tail.|نجم جليدي بذيل طويل متوهج.
Orbit|The circular path around a planet.|المسار الدائري حول الكوكب.
Galaxy|Billions of stars together in space.|مليارات النجوم مجتمعة في الفضاء.
Lung|You breathe with them, you have two.|نتنفس بهما وعددهما اثنان.
Kidney|Cleans your blood, you have two.|تصفي الدم وعددها اثنتان.
Skull|The bone protecting your brain.|العظم الذي يحمي الدماغ.
Muscle|What makes you strong and moves your bones.|ما يجعلنا أقوياء ويحرك العظام.
Elbow|The joint bending your arm.|المفصل الذي يثني الذراع.
Ankle|The joint between foot and leg.|المفصل بين القدم والساق.
Wrist|The joint where you wear a watch.|المفصل الذي نلبس فيه الساعة.
Rib|Curved bones protecting your heart.|عظام مقوسة تحمي القلب.
Guitar|Six strings you strum with fingers.|ستة أوتار نعزفها بالأصابع.
Piano|Black and white keys you press.|مفاتيح سوداء وبيضاء نضغطها.
Drum|You beat it with sticks to keep rhythm.|نقرعه بالعصي لضبط الإيقاع.
Flute|You blow across it to make soft music.|ننفخ فيه لعزف موسيقى ناعمة.
Violin|Held under the chin and played with a bow.|يوضع تحت الذقن ويعزف بالقوس.
Castle|Huge stone home of kings with towers.|بيت الملوك الحجري الضخم بأبراج.
Sword|Long sharp blade knights fought with.|نصل طويل حاد قاتل به الفرسان.
Shield|Held in front to block hits.|يرفع أماما لصد الضربات.
Crown|Golden circle worn on the king's head.|دائرة ذهبية على رأس الملك.
Pyramid|Giant pointed tombs of Egypt.|مقابر مصر العملاقة المدببة.
Statue|Stone or metal figure of a famous person.|تمثال حجري أو معدني لشخص مشهور.
Mosque|Building where Muslims pray.|المبنى الذي يصلي فيه المسلمون.
Minaret|The tall tower of the mosque.|البرج العالي للمسجد.
Kettle|Boils water for tea, whistles when ready.|تغلي ماء الشاي وتصفر عند الغليان.
Frying pan|Flat wide pan for frying eggs.|مقلاة مسطحة واسعة لقلي البيض.
Blender|Electric jug that turns fruit into juice.|إبريق كهربائي يحول الفواكه عصيرا.
Tray|Flat surface for carrying cups together.|سطح مستوٍ لحمل الأكواب معا.
Apron|Worn over clothes while cooking.|يلبس فوق الثياب أثناء الطبخ.
Envelope|Paper cover you put a letter inside.|غلاف ورقي نضع فيه الرسالة.
Stapler|Joins papers with small metal pins.|يجمع الأوراق بدبابيس معدنية صغيرة.
Folder|Holds papers organized together.|يحفظ الأوراق منظمة معا.
Calendar|Shows days, months and dates on the wall.|يعرض الأيام والشهور والتواريخ على الجدار.
Scissors|Two blades cutting paper and cloth.|نصلان يقصان الورق والقماش.
Bridge|Road crossing over a river.|طريق يعبر فوق النهر.
Fountain|Water dancing up in the square.|ماء يتراقص صعودا في الساحة.
Sidewalk|Where people walk beside the street.|حيث يمشي الناس بجانب الشارع.
Museum|Where old and precious things are displayed.|حيث تعرض الأشياء القديمة والثمينة.
Elevator|Small room lifting you between floors.|غرفة صغيرة ترفعك بين الطوابق.
Chimney|Smoke leaves the house through it.|يخرج الدخان من البيت عبرها.
Balcony|You stand on it outside an upper floor.|نقف عليها خارج الطابق العلوي.
Attic|The room under the roof for old things.|الغرفة تحت السقف للأغراض القديمة.
Basement|The room under the house.|الغرفة تحت البيت.
Doorbell|Visitors press it to announce themselves.|يضغطه الزوار ليعلنوا وصولهم.
Faucet|Water comes out when you open it.|يخرج الماء عند فتحه.
Sink|Basin where you wash hands and dishes.|حوض نغسل فيه اليدين والصحون.
Bathtub|Long basin you lie in to bathe.|حوض طويل نستلقي فيه للاستحمام.
Shower|Water falling on you from above to wash.|ماء ينهمر عليك من الأعلى للاغتسال.
Washing machine|Cleans your clothes by spinning.|تنظف الثياب بالدوران.
Vacuum cleaner|Sucks dust from the carpet.|تشفط الغبار من السجاد.
Air conditioner|Cools the room in hot summer.|يبرد الغرفة في الصيف الحار.
Heater|Warms the room in cold winter.|تدفئ الغرفة في الشتاء البارد.
Ladder|You climb its steps to reach high places.|نصعد درجاته لبلوغ الأماكن العالية.
Toolbox|Box holding hammer, nails and tools.|صندوق يجمع المطرقة والمسامير والعدة.
Pot|Deep container for cooking rice and stew.|وعاء عميق لطبخ الأرز واليخنة.
Lid|Covers the pot while cooking.|يغطي القدر أثناء الطبخ.
Grater|You rub cheese on it to shred it.|نحك عليها الجبن لبشره.
Peeler|Removes the skin of potatoes.|يزيل قشرة البطاطا.
Rolling pin|You roll dough flat with it.|نرقق به العجين.
Cutting board|You chop vegetables on it.|نقطع عليه الخضروات.
Whisk|You beat eggs quickly with it.|نخفق به البيض بسرعة.
Ladle|Deep spoon for serving soup.|ملعقة عميقة لغرف الحساء.
Teapot|You brew and pour tea from it.|نعد فيه الشاي ونصبه.
Jar|Glass container for jam and pickles.|وعاء زجاجي للمربى والمخللات.
Straw|Thin tube you drink juice through.|أنبوب رفيع نشرب به العصير.
Napkin|You wipe your mouth with it at the table.|نمسح به الفم على المائدة.
Tablecloth|Covers the table before eating.|يغطي الطاولة قبل الأكل.
Freezer|Colder than the fridge, makes ice.|أبرد من الثلاجة ويصنع الثلج.
Dishwasher|Machine washing the dishes for you.|آلة تغسل الصحون عنك.
Flour|White powder from wheat for baking.|مسحوق أبيض من القمح للخبز.
Dough|Flour and water mixed before baking.|طحين وماء يعجنان قبل الخبز.
Vinegar|Sour liquid for salads and pickles.|سائل حامض للسلطات والمخللات.
Oil|Liquid for frying, from olives or seeds.|سائل للقلي من الزيتون أو البذور.
Cinnamon|Sweet brown spice from tree bark.|بهار بني حلو من لحاء شجرة.
Mint|Fresh green leaves for tea.|أوراق خضراء منعشة للشاي.
Ginger|Spicy root for tea and cooking.|جذر حار للشاي والطبخ.
Almond|Oval nut in a hard shell.|لوزة بيضاوية في قشرة صلبة.
Walnut|Nut that looks like a tiny brain.|جوزة تشبه دماغا صغيرا.
Peanut|Cheap nut ground into butter.|فول رخيص يطحن زبدة.
Raisin|Dried sweet grape.|عنبة مجففة حلوة.
Lentils|Small flat seeds for famous soup.|بذور مسطحة صغيرة لشوربة مشهورة.
Chickpeas|Round beans making hummus and falafel.|حبوب مستديرة تصنع الحمص والفلافل.
Shrimp|Small curved pink sea creature you eat.|كائن بحري وردي مقوس صغير يؤكل.
Sausage|Minced meat stuffed in a long shape.|لحم مفروم محشو بشكل طويل.
Falcon|Fast hunting bird of Arab tradition.|طائر صيد سريع في التراث العربي.
Crow|Black bird with a loud caw.|طائر أسود بنعيق عالٍ.
Swan|Elegant white water bird with a long neck.|طائر مائي أبيض أنيق بعنق طويل.
Ostrich|The biggest bird, runs but cannot fly.|أكبر الطيور، يجري ولا يطير.
Flamingo|Pink bird standing on one leg.|طائر وردي يقف على ساق واحدة.
Seagull|White bird flying over beaches.|طائر أبيض يحلق فوق الشواطئ.
Woodpecker|Bird hammering holes in trees.|طائر يدق ثقوبا في الأشجار.
Lizard|Small reptile running on walls.|زاحف صغير يجري على الجدران.
Crocodile|Huge river reptile with powerful jaws.|زاحف النهر الضخم بفكين قويين.
Scorpion|Desert creature with a stinging tail.|كائن صحراوي بذيل لاسع.
Snail|Slow creature carrying a spiral shell.|كائن بطيء يحمل قوقعة حلزونية.
Worm|Long soft creature living in soil.|كائن طويل لين يعيش في التربة.
Beetle|Insect with a hard shiny back.|حشرة بظهر صلب لامع.
Grasshopper|Green insect jumping far in the grass.|حشرة خضراء تقفز بعيدا في العشب.
Dragonfly|Insect with four glass wings over water.|حشرة بأربعة أجنحة زجاجية فوق الماء.
Jellyfish|Transparent sea creature that stings.|كائن بحري شفاف يلسع.
Seal|Sea animal sliding on ice and swimming.|حيوان بحري ينزلق على الجليد ويسبح.
Otter|Playful river animal floating on its back.|حيوان نهري مرح يطفو على ظهره.
Mole|Blind digger living under gardens.|حفار أعمى يعيش تحت الحدائق.
Hyena|Wild animal famous for its laugh.|حيوان بري مشهور بضحكته.
Swamp|Wet muddy land with still water.|أرض موحلة رطبة بماء راكد.
Meadow|Green field of grass and flowers.|حقل أخضر من العشب والأزهار.
Cliff|High steep rock face by the sea.|صخر شاهق حاد عند البحر.
Dune|Hill of sand shaped by wind.|تل رمل شكلته الرياح.
Pond|Small still water where ducks swim.|ماء صغير ساكن يسبح فيه البط.
Stream|Small narrow river you can cross.|نهر صغير ضيق يمكن عبوره.
Spring|Fresh water coming out of the ground.|ماء عذب يخرج من الأرض.
Thunder|The loud sound after lightning.|الصوت الهادر بعد البرق.
Lightning|Electric flash splitting the sky.|وميض كهربائي يشق السماء.
Hail|Balls of ice falling like rain.|كرات جليد تسقط كالمطر.
Frost|Thin white ice covering grass at dawn.|جليد أبيض رقيق يغطي العشب فجرا.
Dew|Water drops on plants in the morning.|قطرات ماء على النبات صباحا.
Bark|The rough skin of the tree.|القشرة الخشنة للشجرة.
Thorn|Sharp point on a rose stem.|رأس حاد على ساق الوردة.
Cactus|Desert plant covered in spikes, needs no water.|نبتة صحراوية مليئة بالأشواك لا تحتاج ماء.
Forehead|The area above your eyebrows.|المنطقة فوق الحاجبين.
Chin|The bottom tip of your face.|الطرف الأسفل من الوجه.
Cheek|The soft sides of your face.|الجانبان الناعمان من الوجه.
Eyebrow|The hair line above your eye.|خط الشعر فوق العين.
Eyelash|Tiny hairs on the edge of your eyelid.|شعيرات دقيقة على حافة الجفن.
Jaw|The bone moving when you chew.|العظم المتحرك عند المضغ.
Heel|The back part of your foot.|الجزء الخلفي من القدم.
Palm|The inner flat side of your hand.|الجهة الداخلية المسطحة من اليد.
Thumb|The short thick finger.|الإصبع القصير الغليظ.
Waist|The middle of your body where the belt goes.|وسط الجسم حيث يشد الحزام.
Suit|Formal jacket and pants for weddings and work.|سترة وبنطال رسميان للأعراس والعمل.
Vest|Sleeveless top worn over a shirt.|لباس علوي بلا أكمام فوق القميص.
Sleeve|The part of the shirt covering your arm.|جزء القميص الذي يغطي الذراع.
Collar|The part of the shirt around your neck.|جزء القميص المحيط بالعنق.
Sandals|Open shoes for summer.|أحذية مفتوحة للصيف.
Boots|Tall strong shoes for rain and work.|أحذية عالية قوية للمطر والعمل.
